intersection,index
Doheny Road,0.0
Cory Avenue,0.008159695002643016
North Doheny Drive,0.02423660775921447
Wetherly Drive,0.03557004832176231
Hilldale Avenue,0.05395858686889946
North Clark Street,0.0642198723956043
Larrabee Street,0.07446183477676913
Horn Avenue,0.08558928282390259
Sherbourne Drive,0.09983938834966642
Sunset Plaza Drive,0.12410614359261747
Londonderry Place,0.1380386977150002
Miller Drive,0.15945294754592026
Queens Road,0.17570949578952505
North Kings Road,0.19548089708319555
North Sweetzer Avenue,0.22119903939377208
Roxbury Road,0.23951873227053333
Marmont Lane,0.2476675220687244
Selma Avenue,0.25941218018761175
Laurel Canyon Boulevard,0.26929157085645966
North Laurel Avenue,0.2815277570872092
North Hayworth Avenue,0.2950501357651893
North Fairfax Avenue,0.30820016780780574
North Orange Grove Avenue,0.3189289900668017
North Ogden Drive,0.3292132558263528
North Genesee Avenue,0.3398208211951128
North Spaulding Avenue,0.3499038878711957
North Stanley Avenue,0.3593815077803163
North Curson Avenue,0.3699892890808532
North Sierra Bonita Avenue,0.38039535986313916
North Gardner Street,0.3906390673907184
North Vista Street,0.40794122762278184
North Martel Avenue,0.41721766449103603
North Fuller Avenue,0.4273410236297091
North Poinsettia Place,0.43779404616002326
North Formosa Avenue,0.4480784494331202
North Detroit Street,0.4595319428693657
North La Brea Avenue,0.47324489307599016
North Sycamore Avenue,0.488532350967712
North Orange Drive,0.49931708507400424
North Highland Avenue,0.5248195483192605
North McCadden Place,0.5354259865129097
North Las Palmas Avenue,0.5472235012181002
Cassi Place,0.5707599962689326
Schrader Boulevard,0.5835704999398116
North Wilcox Avenue,0.5971556292887233
North Cahuenga Boulevard,0.6116350191858655
Ivar Avenue,0.6183084473822579
Morningside Court,0.6283784769780503
Vine Street,0.6384483238977652
Argyle Avenue,0.6526901640876485
El Centro Avenue,0.6660959449825726
Gower Street,0.6797418813878301
La Blaig Avenue,0.6965448331956082
Gordon Street,0.704410503801731
Bronson Avenue,0.7209751265485246
Van Ness Avenue,0.7416516324153231
Hollywood Freeway,0.7540458071592967
North Wilton Place,0.7622084135702176
North Saint Andrew's Place,0.7824678445583737
Western Avenue,0.8036208946166776
Serrano Avenue,0.8238203807550486
Hobart Boulevard,0.8375250168943655
North Harvard Boulevard,0.8496211247941401
North Kingsley Drive,0.8599292225234182
Winona Boulevard,0.870535365959474
Normandie Avenue,0.8860869937385846
North Mariposa Avenue,0.8963354324639543
North Alexadria Avenue,0.9068222299678429
Kenmore Avenue,0.9171309058450028
Edgemont Street,0.927379458775939
Vermont Avenue,0.9687318942581334
Rodney Drive,0.9894676439454189
